"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HCLTECH","EQ","29-Jun-2018","909.60","914.10","928.75","913.35","926.90","926.25","925.43","30,29,777","2,80,38,41,612.00","97,366","23,99,067","79.18"
"HCLTECH","EQ","28-Jun-2018","921.05","926.45","929.95","904.90","911.30","909.60","916.41","67,83,284","6,21,62,67,432.60","83,011","46,06,491","67.91"
"HCLTECH","EQ","27-Jun-2018","910.40","912.20","925.00","910.30","922.00","921.05","920.37","28,75,514","2,64,65,22,478.35","1,63,179","17,66,026","61.42"
"HCLTECH","EQ","26-Jun-2018","908.90","909.00","915.50","906.60","912.70","910.40","911.75","16,24,618","1,48,12,44,973.35","79,299","9,68,842","59.64"
"HCLTECH","EQ","25-Jun-2018","904.80","904.90","917.50","904.00","908.00","908.90","909.64","21,27,860","1,93,55,93,603.10","69,432","14,53,133","68.29"
"HCLTECH","EQ","22-Jun-2018","902.55","907.05","921.80","901.85","905.45","904.80","909.94","20,18,350","1,83,65,79,364.55","73,328","9,24,771","45.82"
"HCLTECH","EQ","21-Jun-2018","910.95","912.10","917.00","899.10","900.95","902.55","908.35","16,04,451","1,45,74,01,800.25","63,179","10,13,321","63.16"
"HCLTECH","EQ","20-Jun-2018","920.45","921.00","928.75","906.40","908.45","910.95","913.32","14,10,131","1,28,78,96,270.80","44,213","9,42,569","66.84"
"HCLTECH","EQ","19-Jun-2018","933.20","932.90","940.55","915.40","919.20","920.45","922.44","14,06,237","1,29,71,74,430.35","70,619","9,18,209","65.30"
"HCLTECH","EQ","18-Jun-2018","948.30","954.50","957.35","931.25","934.15","933.20","944.40","13,26,833","1,25,30,64,412.60","40,795","6,99,335","52.71"
"HCLTECH","EQ","15-Jun-2018","936.95","936.95","954.00","931.05","947.95","948.30","945.83","30,93,292","2,92,57,42,103.60","83,373","19,07,713","61.67"
"HCLTECH","EQ","14-Jun-2018","923.70","928.00","940.00","921.05","936.00","936.95","934.79","18,77,540","1,75,51,11,588.50","71,178","10,40,454","55.42"
"HCLTECH","EQ","13-Jun-2018","914.80","920.00","925.80","914.05","924.90","923.70","922.08","10,56,853","97,45,03,615.25","51,573","6,44,592","60.99"
"HCLTECH","EQ","12-Jun-2018","911.60","912.95","924.00","911.65","916.25","914.80","916.03","14,80,524","1,35,62,04,722.15","91,097","9,87,147","66.68"
"HCLTECH","EQ","11-Jun-2018","928.70","933.00","942.50","907.75","909.95","911.60","919.76","20,52,597","1,88,79,05,807.50","73,250","13,08,325","63.74"
"HCLTECH","EQ","08-Jun-2018","921.35","921.00","935.90","917.85","929.85","928.70","927.72","11,34,214","1,05,22,37,138.15","52,544","5,07,187","44.72"
"HCLTECH","EQ","07-Jun-2018","908.95","905.00","926.00","905.00","921.10","921.35","919.63","10,68,649","98,27,65,694.05","59,052","4,96,572","46.47"
"HCLTECH","EQ","06-Jun-2018","885.05","891.95","917.80","890.00","905.00","908.95","904.38","11,68,856","1,05,70,95,265.65","60,375","3,94,123","33.72"
"HCLTECH","EQ","05-Jun-2018","900.70","905.95","910.20","880.05","887.30","885.05","893.38","12,73,868","1,13,80,46,447.95","58,011","6,30,576","49.50"
"HCLTECH","EQ","04-Jun-2018","904.85","907.00","916.90","899.15","900.65","900.70","907.32","7,52,943","68,31,59,302.80","36,179","3,93,609","52.28"
"HCLTECH","EQ","01-Jun-2018","910.35","910.00","923.90","900.00","904.40","904.85","915.24","9,69,531","88,73,51,050.05","39,303","3,65,137","37.66"
"HCLTECH","EQ","31-May-2018","907.35","908.00","914.80","901.05","907.90","910.35","910.28","28,09,322","2,55,72,67,599.00","97,275","14,19,384","50.52"
"HCLTECH","EQ","30-May-2018","905.10","907.00","911.80","897.60","910.50","907.35","905.75","11,87,024","1,07,51,49,288.80","65,704","7,01,108","59.06"
"HCLTECH","EQ","29-May-2018","894.50","899.00","909.50","895.00","909.00","905.10","902.29","9,92,916","89,59,01,677.80","43,088","3,93,095","39.59"
"HCLTECH","EQ","28-May-2018","916.00","916.00","917.00","891.00","897.00","894.50","895.71","13,25,882","1,18,76,09,001.75","65,672","7,87,923","59.43"
"HCLTECH","EQ","25-May-2018","911.70","917.90","923.85","912.00","916.00","916.00","917.92","10,44,541","95,88,05,379.30","80,461","5,47,980","52.46"
"HCLTECH","EQ","24-May-2018","894.35","905.95","917.90","900.20","913.00","911.70","911.71","31,54,665","2,87,61,35,094.85","98,884","21,77,148","69.01"
"HCLTECH","EQ","23-May-2018","904.90","905.00","918.40","891.85","897.00","894.35","900.43","18,67,414","1,68,14,71,124.25","63,701","9,49,481","50.84"
"HCLTECH","EQ","22-May-2018","895.95","890.35","911.70","889.55","904.40","904.90","903.65","12,42,547","1,12,28,33,212.10","72,717","7,37,553","59.36"
"HCLTECH","EQ","21-May-2018","890.70","892.00","900.55","887.00","897.00","895.95","892.98","14,71,238","1,31,37,90,929.30","63,727","10,17,070","69.13"
"HCLTECH","EQ","18-May-2018","909.75","905.00","918.00","887.10","892.00","890.70","899.49","17,58,863","1,58,20,79,737.65","57,925","9,82,542","55.86"
"HCLTECH","EQ","17-May-2018","920.25","926.90","926.90","904.70","907.90","909.75","914.32","14,49,952","1,32,57,25,149.60","59,501","9,47,076","65.32"
"HCLTECH","EQ","16-May-2018","925.00","922.50","930.90","916.50","919.10","920.25","922.43","9,81,986","90,58,17,424.55","46,472","5,95,787","60.67"
"HCLTECH","EQ","15-May-2018","925.30","920.30","932.70","911.55","923.90","925.00","925.05","21,19,665","1,96,08,04,662.95","48,682","14,75,079","69.59"
"HCLTECH","EQ","14-May-2018","932.85","937.40","937.40","920.45","925.00","925.30","925.46","15,66,148","1,44,94,10,228.20","42,783","11,41,184","72.87"
"HCLTECH","EQ","11-May-2018","930.20","931.20","938.25","931.10","932.70","932.85","933.31","10,58,701","98,80,90,980.30","40,418","6,52,664","61.65"
"HCLTECH","EQ","10-May-2018","927.50","932.90","937.90","926.10","930.70","930.20","931.07","18,70,741","1,74,17,91,869.20","60,301","12,58,893","67.29"
"HCLTECH","EQ","09-May-2018","920.10","924.00","936.65","920.80","928.40","927.50","929.18","13,78,640","1,28,10,11,317.95","30,340","5,58,433","40.51"
"HCLTECH","EQ","08-May-2018","928.20","930.20","933.00","907.10","920.00","920.10","919.40","20,40,134","1,87,57,09,274.95","47,808","10,39,417","50.95"
"HCLTECH","EQ","07-May-2018","929.85","936.80","940.65","921.05","929.30","928.20","929.49","12,88,421","1,19,75,78,923.60","40,408","3,49,809","27.15"
"HCLTECH","EQ","04-May-2018","925.70","922.95","944.00","907.70","927.55","929.85","928.97","41,82,503","3,88,54,29,411.25","97,941","11,27,544","26.96"
"HCLTECH","EQ","03-May-2018","1,000.50","997.00","997.00","920.00","921.00","925.70","934.71","76,38,012","7,13,93,15,845.95","2,01,988","41,41,546","54.22"
"HCLTECH","EQ","02-May-2018","1,052.75","1,050.00","1,051.95","995.50","1,005.35","1,000.50","1,011.84","75,07,479","7,59,63,75,292.55","1,58,844","33,22,274","44.25"
"HCLTECH","EQ","30-Apr-2018","1,041.65","1,048.90","1,079.00","1,045.05","1,053.00","1,052.75","1,059.66","15,73,833","1,66,77,26,232.55","35,228","4,27,002","27.13"
"HCLTECH","EQ","27-Apr-2018","1,077.30","1,077.00","1,090.65","1,035.00","1,041.10","1,041.65","1,049.30","23,82,304","2,49,97,50,323.90","60,881","10,96,544","46.03"
"HCLTECH","EQ","26-Apr-2018","1,068.80","1,056.00","1,088.35","1,051.65","1,074.65","1,077.30","1,075.24","30,26,106","3,25,37,76,019.85","65,128","20,38,314","67.36"
"HCLTECH","EQ","25-Apr-2018","1,061.95","1,061.85","1,081.50","1,046.00","1,070.00","1,068.80","1,069.91","15,01,140","1,60,60,81,939.00","35,904","4,42,317","29.47"
"HCLTECH","EQ","24-Apr-2018","1,088.00","1,084.90","1,099.75","1,058.10","1,062.20","1,061.95","1,072.80","19,96,809","2,14,21,70,667.30","62,768","11,29,179","56.55"
"HCLTECH","EQ","23-Apr-2018","1,062.35","1,062.00","1,108.00","1,055.00","1,081.00","1,088.00","1,089.48","45,43,462","4,95,00,17,041.70","1,19,976","20,49,388","45.11"
"HCLTECH","EQ","20-Apr-2018","1,018.55","1,020.00","1,074.20","1,019.90","1,057.00","1,062.35","1,055.62","47,45,299","5,00,92,27,154.00","1,05,417","22,88,241","48.22"
"HCLTECH","EQ","19-Apr-2018","996.85","1,005.00","1,021.50","999.00","1,018.40","1,018.55","1,015.23","11,50,814","1,16,83,40,489.35","52,564","3,92,639","34.12"
"HCLTECH","EQ","18-Apr-2018","1,011.00","1,014.90","1,015.80","993.00","999.35","996.85","999.58","10,04,131","1,00,37,11,170.35","59,327","4,38,744","43.69"
"HCLTECH","EQ","17-Apr-2018","999.90","997.05","1,016.00","997.05","1,011.90","1,011.00","1,008.80","18,64,953","1,88,13,56,482.05","69,495","11,06,426","59.33"
"HCLTECH","EQ","16-Apr-2018","991.25","979.00","1,006.75","976.10","997.05","999.90","993.70","19,12,264","1,90,02,21,485.80","68,557","8,41,116","43.99"
"HCLTECH","EQ","13-Apr-2018","1,010.05","1,014.50","1,020.00","988.25","989.70","991.25","997.27","31,80,555","3,17,18,83,796.20","1,12,910","13,24,643","41.65"
"HCLTECH","EQ","12-Apr-2018","967.30","967.95","1,013.00","967.30","1,007.00","1,010.05","1,003.25","40,91,383","4,10,46,68,242.10","75,311","19,43,101","47.49"
"HCLTECH","EQ","11-Apr-2018","948.45","955.00","977.70","951.35","969.35","967.30","967.94","18,58,482","1,79,89,04,010.85","64,502","8,36,537","45.01"
"HCLTECH","EQ","10-Apr-2018","953.25","953.10","961.95","943.55","951.00","948.45","950.66","12,15,886","1,15,58,89,891.70","66,590","6,83,804","56.24"
"HCLTECH","EQ","09-Apr-2018","952.65","954.30","962.65","948.00","953.00","953.25","953.29","8,54,036","81,41,45,422.35","60,178","4,43,971","51.99"
"HCLTECH","EQ","06-Apr-2018","962.05","972.00","972.00","950.60","952.55","952.65","958.67","12,57,905","1,20,59,21,737.00","38,588","5,37,401","42.72"
"HCLTECH","EQ","05-Apr-2018","959.25","970.00","984.20","956.55","962.95","962.05","964.75","14,02,552","1,35,31,07,979.25","43,177","7,18,759","51.25"
"HCLTECH","EQ","04-Apr-2018","969.25","981.00","981.25","949.50","959.25","959.25","961.26","9,02,390","86,74,29,359.40","45,534","3,85,748","42.75"
"HCLTECH","EQ","03-Apr-2018","979.50","972.50","989.00","963.05","968.50","969.25","971.15","10,18,000","98,86,28,193.40","75,962","5,63,797","55.38"
"HCLTECH","EQ","02-Apr-2018","968.60","966.30","984.90","964.80","983.70","979.50","973.26","6,47,823","63,05,00,075.05","33,403","3,35,168","51.74"
"HCLTECH","EQ","28-Mar-2018","972.05","961.55","981.60","955.05","966.30","968.60","967.10","23,10,086","2,23,40,82,739.45","66,777","13,62,334","58.97"
"HCLTECH","EQ","27-Mar-2018","967.05","975.00","978.90","954.50","970.05","972.05","967.32","12,47,600","1,20,68,25,455.85","41,319","5,97,343","47.88"
"HCLTECH","EQ","26-Mar-2018","957.40","957.20","971.00","945.00","966.60","967.05","962.73","17,85,668","1,71,91,20,237.10","43,156","7,32,596","41.03"
"HCLTECH","EQ","23-Mar-2018","930.55","905.00","960.55","903.55","956.60","957.40","945.14","27,39,036","2,58,87,76,567.15","81,571","12,44,391","45.43"
"HCLTECH","EQ","22-Mar-2018","937.35","941.00","948.90","925.00","927.00","930.55","934.70","15,47,643","1,44,65,83,938.10","94,630","9,51,400","61.47"
"HCLTECH","EQ","21-Mar-2018","937.20","945.00","949.90","926.45","940.10","937.35","939.20","19,09,490","1,79,33,99,338.05","90,636","12,40,553","64.97"
