SYMBOL,SERIES,DATE,PREV. CLOSE,OPEN,HIGH,LOW,LTP,CLOSE,VWAP,VOLUME,VALUE,NO. OF TRADES,DELIVERABLE QTY,DELIVERABLE %
TCS,EQ,2015-03-12,2606.55,2623.9,2624.9,2590.1,2618.2,2619.05,2606.76,913818,2382100177.6,62767,582972.0,63.8
TCS,EQ,2015-03-13,2619.05,2638.0,2639.95,2575.0,2585.0,2582.35,2594.75,793419,2058721256.8,67541,481480.0,60.68
TCS,EQ,2015-03-16,2582.35,2585.2,2610.0,2552.0,2560.6,2562.3,2579.88,778148,2007532252.95,44209,484279.0,62.23
TCS,EQ,2015-03-17,2562.3,2582.5,2606.7,2557.75,2583.65,2583.7,2582.66,633659,1636526939.25,56639,368300.0,58.12
TCS,EQ,2015-03-18,2583.7,2590.95,2599.45,2551.7,2556.0,2559.35,2561.86,627585,1607785038.9,38991,364010.0,58.0
TCS,EQ,2015-03-19,2559.35,2576.0,2605.85,2568.1,2602.0,2596.25,2596.45,1224482,3179303472.45,71701,888461.0,72.56
TCS,EQ,2015-03-20,2596.25,2596.0,2618.0,2578.85,2610.85,2610.95,2608.5,981954,2561422702.35,74415,714293.0,72.74
TCS,EQ,2015-03-23,2610.95,2616.0,2631.0,2606.0,2616.0,2617.15,2616.73,783304,2049695322.0,59518,575211.0,73.43
TCS,EQ,2015-03-24,2617.15,2630.0,2637.0,2582.1,2600.0,2591.3,2617.59,1197439,3134409333.1,58016,848633.0,70.87
TCS,EQ,2015-03-25,2591.3,2591.4,2614.0,2545.2,2569.85,2573.75,2575.29,1112429,2864826904.4,75792,825133.0,74.17
TCS,EQ,2015-03-26,2573.75,2553.3,2586.7,2501.0,2515.0,2513.1,2535.65,1545821,3919665456.65,82115,1110655.0,71.85
TCS,EQ,2015-03-27,2513.1,2531.0,2571.9,2504.1,2519.9,2514.8,2536.73,1375888,3490257167.9,76990,947653.0,68.88
TCS,EQ,2015-03-30,2514.8,2525.0,2569.9,2520.0,2554.2,2564.15,2546.18,669503,1704674647.9,64141,461568.0,68.94
TCS,EQ,2015-03-31,2564.15,2569.45,2569.45,2521.0,2560.0,2553.95,2548.15,1213514,3092215331.6,88908,862309.0,71.06
TCS,EQ,2015-04-01,2553.95,2558.0,2563.6,2522.25,2544.05,2542.65,2538.81,1037879,2634981317.45,54078,784911.0,75.63
TCS,EQ,2015-04-06,2542.65,2558.0,2562.9,2500.1,2548.3,2547.3,2531.53,784271,1985404796.8,45408,485665.0,61.93
TCS,EQ,2015-04-07,2547.3,2562.45,2599.0,2544.0,2588.95,2585.0,2571.5,943461,2426111369.05,77106,562689.0,59.64
TCS,EQ,2015-04-08,2585.0,2594.0,2656.5,2590.85,2646.0,2641.4,2632.0,826067,2174208279.4,61358,496296.0,60.08
TCS,EQ,2015-04-09,2641.4,2659.0,2687.45,2635.15,2662.6,2664.55,2658.35,1272225,3382017714.75,62583,902143.0,70.91
TCS,EQ,2015-04-10,2664.55,2648.5,2670.8,2628.0,2651.1,2653.75,2648.39,907772,2404135142.8,63471,625228.0,68.88
TCS,EQ,2015-04-13,2653.75,2664.0,2665.0,2628.0,2653.85,2655.5,2650.09,654321,1734011442.1,54293,451036.0,68.93
TCS,EQ,2015-04-15,2655.5,2654.7,2713.9,2609.4,2618.95,2627.75,2646.26,1456967,3855513024.7,74856,927588.0,63.67
TCS,EQ,2015-04-16,2627.75,2626.95,2627.0,2571.35,2574.0,2582.8,2589.79,1608785,4166416079.2,71768,1002627.0,62.32
TCS,EQ,2015-04-17,2582.8,2557.1,2560.0,2470.0,2473.9,2474.85,2495.54,4834371,12064349822.95,167402,2989132.0,61.83
TCS,EQ,2015-04-20,2474.85,2480.05,2483.9,2424.85,2426.0,2428.8,2439.46,1445361,3525902673.95,84591,916671.0,63.42
TCS,EQ,2015-04-21,2428.8,2428.8,2452.0,2401.0,2427.05,2427.05,2430.81,1273016,3094465305.15,83843,816116.0,64.11
TCS,EQ,2015-04-22,2427.05,2431.5,2473.0,2407.55,2470.6,2445.1,2428.26,2093406,5083342117.0,101821,1643446.0,78.51
TCS,EQ,2015-04-23,2445.1,2472.0,2479.8,2431.7,2455.0,2457.25,2460.81,2171495,5343637553.6,80541,1743765.0,80.3
TCS,EQ,2015-04-24,2457.25,2455.3,2514.0,2447.55,2509.6,2493.05,2488.25,1812579,4510146387.85,130453,1306431.0,72.08
TCS,EQ,2015-04-27,2493.05,2499.5,2520.0,2486.0,2500.0,2500.2,2501.44,1366526,3418280027.9,81966,986807.0,72.21
TCS,EQ,2015-04-28,2500.2,2510.0,2510.0,2455.1,2493.0,2495.0,2477.16,1544149,3825105916.3,128979,1197833.0,77.57
TCS,EQ,2015-04-29,2495.0,2484.0,2495.0,2451.05,2481.0,2487.3,2472.31,1009810,2496559484.65,100184,626278.0,62.02
TCS,EQ,2015-04-30,2487.3,2480.0,2490.0,2427.1,2476.0,2463.7,2461.06,1869027,4599778448.7,101021,1353129.0,72.4
TCS,EQ,2015-05-04,2463.7,2491.0,2504.8,2457.2,2482.25,2481.55,2476.14,945315,2340736972.15,83359,655734.0,69.37
TCS,EQ,2015-05-05,2481.55,2501.0,2536.45,2500.0,2519.0,2517.85,2518.94,1627535,4099661485.45,69702,1015019.0,62.37
TCS,EQ,2015-05-06,2517.85,2515.0,2515.0,2455.8,2463.0,2463.05,2468.46,1697203,4189477161.7,97392,1156742.0,68.16
TCS,EQ,2015-05-07,2463.05,2464.9,2553.75,2453.7,2550.0,2545.25,2522.63,1602514,4042557510.35,63417,1086092.0,67.77
TCS,EQ,2015-05-08,2545.25,2560.0,2588.0,2516.3,2530.0,2527.25,2552.07,1501832,3832785394.5,53709,1023782.0,68.17
TCS,EQ,2015-05-11,2527.25,2535.0,2563.05,2525.0,2559.0,2556.0,2550.07,1286541,3280765489.15,73023,931788.0,72.43
TCS,EQ,2015-05-12,2556.0,2560.0,2565.0,2513.0,2523.95,2522.9,2524.91,1233693,3114957842.5,71964,949366.0,76.95
TCS,EQ,2015-05-13,2522.9,2547.0,2547.0,2480.45,2523.1,2515.4,2510.43,931887,2339441725.0,53692,473256.0,50.78
TCS,EQ,2015-05-14,2515.4,2520.0,2520.0,2485.0,2499.0,2499.25,2495.09,654525,1633096280.8,40174,381895.0,58.35
TCS,EQ,2015-05-15,2499.25,2515.0,2532.4,2501.0,2511.0,2511.15,2512.17,730727,1835713056.6,32934,515976.0,70.61
TCS,EQ,2015-05-18,2511.15,2514.1,2525.25,2497.1,2515.15,2520.4,2505.41,2253876,5646890602.55,50845,2006146.0,89.01
TCS,EQ,2015-05-19,2520.4,2519.4,2530.0,2496.75,2512.0,2512.7,2511.97,978861,2458873706.45,37527,686093.0,70.09
TCS,EQ,2015-05-20,2512.7,2520.0,2569.9,2516.9,2557.0,2557.05,2550.08,948907,2419790057.75,41995,571725.0,60.25
TCS,EQ,2015-05-21,2557.05,2557.0,2580.0,2548.15,2551.9,2555.5,2565.83,789789,2026463607.9,40459,563782.0,71.38
TCS,EQ,2015-05-22,2555.5,2550.0,2628.75,2539.25,2621.8,2617.9,2594.64,1345816,3491905915.45,52428,992008.0,73.71
TCS,EQ,2015-05-25,2617.9,2620.0,2636.9,2585.7,2600.05,2601.0,2606.03,491489,1280833581.8,30375,263444.0,53.6
TCS,EQ,2015-05-26,2601.0,2605.0,2623.25,2588.9,2614.95,2608.85,2610.17,980870,2560241038.1,34315,705361.0,71.91
TCS,EQ,2015-05-27,2608.85,2608.0,2633.15,2592.0,2610.0,2615.25,2615.75,810345,2119662471.05,50501,600904.0,74.15
TCS,EQ,2015-05-28,2615.25,2603.9,2623.0,2582.25,2615.9,2609.5,2606.6,1381804,3601809691.7,52267,1070716.0,77.49
TCS,EQ,2015-05-29,2609.5,2617.0,2648.6,2597.25,2621.55,2610.3,2614.52,2211766,5782695514.75,83932,1686200.0,76.24
TCS,EQ,2015-06-01,2610.3,2609.45,2647.1,2608.35,2615.2,2617.75,2622.43,441132,1156839898.0,35794,251151.0,56.93
TCS,EQ,2015-06-02,2617.75,2616.0,2630.0,2590.5,2605.0,2599.9,2605.54,1967910,5127471871.1,54815,1605076.0,81.56
TCS,EQ,2015-06-03,2599.9,2604.0,2625.6,2590.5,2612.0,2610.9,2611.6,902342,2356551996.6,41440,635538.0,70.43
TCS,EQ,2015-06-04,2610.9,2617.1,2622.8,2588.5,2600.2,2605.65,2606.81,2065734,5384974459.95,44653,1816025.0,87.91
TCS,EQ,2015-06-05,2605.65,2592.0,2609.0,2570.0,2577.5,2575.85,2583.52,1154267,2982066457.6,52168,848596.0,73.52
TCS,EQ,2015-06-08,2575.85,2590.0,2590.0,2561.65,2580.0,2577.45,2576.28,785160,2022788959.2,62168,543370.0,69.21
TCS,EQ,2015-06-09,2577.45,2585.0,2590.0,2551.0,2561.95,2561.65,2574.52,1289457,3319735632.7,63744,1099487.0,85.27
TCS,EQ,2015-06-10,2561.65,2566.0,2610.0,2563.8,2600.0,2600.75,2586.57,1381675,3573803308.3,42817,1122720.0,81.26
TCS,EQ,2015-06-11,2600.75,2605.5,2613.0,2556.75,2564.25,2571.3,2585.02,923668,2387698129.7,37803,658949.0,71.34
TCS,EQ,2015-06-12,2571.3,2571.9,2588.95,2476.8,2520.0,2505.8,2526.7,1285728,3248652193.85,80056,700457.0,54.48
TCS,EQ,2015-06-15,2505.8,2505.3,2520.45,2481.0,2509.5,2504.8,2503.06,1262588,3160335340.25,57691,1008687.0,79.89
TCS,EQ,2015-06-16,2504.8,2500.0,2519.3,2494.45,2508.0,2512.0,2510.7,633698,1591026187.1,41162,481883.0,76.04
TCS,EQ,2015-06-17,2512.0,2521.0,2529.15,2501.8,2512.0,2513.8,2516.05,987860,2485504053.1,88734,698348.0,70.69
TCS,EQ,2015-06-18,2513.8,2515.0,2546.3,2508.0,2522.0,2530.05,2533.09,1082523,2742123536.1,83019,764949.0,70.66
TCS,EQ,2015-06-19,2530.05,2535.0,2555.0,2527.1,2550.0,2549.55,2546.79,999805,2546296337.65,50051,769320.0,76.95
TCS,EQ,2015-06-22,2549.55,2547.0,2600.0,2547.0,2598.3,2591.5,2587.1,551001,1425494777.35,43692,317646.0,57.65
TCS,EQ,2015-06-23,2591.5,2600.0,2608.0,2567.2,2585.9,2574.6,2582.03,449159,1159740003.65,30619,280403.0,62.43
TCS,EQ,2015-06-24,2574.6,2580.0,2587.9,2558.85,2568.7,2570.3,2573.22,585123,1505651661.5,39464,331254.0,56.61
TCS,EQ,2015-06-25,2570.3,2562.0,2573.0,2544.15,2552.0,2550.0,2553.8,965496,2465682192.55,36543,728243.0,75.43
TCS,EQ,2015-06-26,2550.0,2550.2,2596.35,2550.2,2590.1,2592.8,2579.82,645051,1664112381.55,34240,356380.0,55.25
TCS,EQ,2015-06-29,2592.8,2572.0,2604.0,2543.4,2599.0,2592.9,2569.67,686378,1763768234.7,35008,263984.0,38.46
TCS,EQ,2015-06-30,2592.9,2585.0,2588.75,2540.0,2555.0,2550.95,2557.03,774976,1981634326.05,34960,468575.0,60.46
TCS,EQ,2015-07-01,2550.95,2563.9,2608.0,2556.75,2600.0,2593.1,2584.41,639854,1653643739.5,50229,405105.0,63.31
TCS,EQ,2015-07-02,2593.1,2600.0,2602.95,2571.05,2582.0,2577.75,2583.81,722940,1867939583.95,63066,441786.0,61.11
TCS,EQ,2015-07-03,2577.75,2573.05,2610.0,2570.0,2603.1,2603.9,2595.18,481735,1250190067.6,34612,263852.0,54.77
TCS,EQ,2015-07-06,2603.9,2580.3,2645.0,2580.3,2629.7,2633.3,2613.46,591169,1544998843.4,31304,280866.0,47.51
TCS,EQ,2015-07-07,2633.3,2632.75,2646.9,2603.0,2623.9,2616.25,2627.79,821418,2158510413.05,51719,531468.0,64.7
TCS,EQ,2015-07-08,2616.25,2597.95,2621.7,2580.5,2591.7,2595.1,2596.66,1333925,3463745328.6,85552,956051.0,71.67
TCS,EQ,2015-07-09,2595.1,2595.0,2598.25,2506.65,2529.35,2522.5,2540.37,1967061,4997069436.9,142048,1156795.0,58.81
TCS,EQ,2015-07-10,2522.5,2559.0,2559.0,2455.0,2467.0,2474.35,2489.45,4131827,10285990404.9,211247,2279427.0,55.17
TCS,EQ,2015-07-13,2474.35,2475.4,2518.6,2475.4,2506.1,2509.55,2502.25,1140154,2852946095.45,53024,672149.0,58.95
TCS,EQ,2015-07-14,2509.55,2511.0,2515.0,2490.0,2498.85,2499.5,2499.62,851637,2128767355.85,49611,583671.0,68.54
TCS,EQ,2015-07-15,2499.5,2501.0,2549.95,2500.0,2548.0,2545.75,2534.53,1001830,2539169259.65,76369,665637.0,66.44
TCS,EQ,2015-07-16,2545.75,2543.7,2558.85,2526.6,2534.9,2540.2,2543.54,728304,1852469301.05,58974,449458.0,61.71
TCS,EQ,2015-07-17,2540.2,2546.8,2570.1,2543.3,2563.25,2564.4,2558.02,535263,1369212462.55,39534,299824.0,56.01
TCS,EQ,2015-07-20,2564.4,2564.0,2583.9,2551.9,2579.95,2579.15,2571.54,426893,1097773967.55,38037,243186.0,56.97
TCS,EQ,2015-07-21,2579.15,2576.0,2600.35,2555.1,2561.7,2561.4,2574.93,637250,1640874811.8,52304,399441.0,62.68
TCS,EQ,2015-07-22,2561.4,2561.0,2569.0,2521.05,2530.9,2528.05,2532.4,660314,1672180248.4,44395,450257.0,68.19
TCS,EQ,2015-07-23,2528.05,2517.5,2537.85,2483.0,2492.05,2488.6,2505.27,748390,1874916485.4,34659,491798.0,65.71
TCS,EQ,2015-07-24,2488.6,2497.5,2516.5,2492.1,2507.1,2505.15,2506.09,787486,1973508444.6,38528,512154.0,65.04
TCS,EQ,2015-07-27,2505.15,2488.0,2505.0,2481.15,2501.15,2497.05,2496.91,1001869,2501578423.65,65507,798854.0,79.74
TCS,EQ,2015-07-28,2497.05,2499.5,2519.0,2492.15,2509.7,2502.05,2509.48,945594,2372947975.75,48484,759857.0,80.36
TCS,EQ,2015-07-29,2502.05,2511.0,2515.05,2483.5,2515.0,2506.75,2501.68,1206659,3018671545.3,85826,966402.0,80.09
TCS,EQ,2015-07-30,2506.75,2516.05,2516.8,2472.8,2472.8,2480.65,2490.3,1385287,3449782850.45,77684,1230247.0,88.81
TCS,EQ,2015-07-31,2480.65,2489.9,2519.0,2487.0,2511.45,2510.75,2502.23,981888,2456907019.8,67496,675985.0,68.85
TCS,EQ,2015-08-03,2510.75,2503.4,2525.0,2500.9,2508.0,2509.6,2514.14,589662,1482492014.75,50976,404877.0,68.66
TCS,EQ,2015-08-04,2509.6,2510.4,2523.0,2486.0,2510.0,2508.9,2500.32,1171346,2928737113.8,82052,973725.0,83.13
TCS,EQ,2015-08-05,2508.9,2520.0,2550.0,2511.0,2544.55,2547.15,2539.25,494497,1255652001.55,46758,339571.0,68.67
TCS,EQ,2015-08-06,2547.15,2565.0,2583.0,2550.1,2569.3,2573.3,2566.25,1105683,2837460973.7,67097,888664.0,80.37
TCS,EQ,2015-08-07,2573.3,2573.0,2573.0,2547.0,2559.0,2552.05,2558.6,594253,1520457968.1,51065,457333.0,76.96
TCS,EQ,2015-08-10,2552.05,2572.0,2589.0,2556.6,2575.0,2572.1,2576.47,715591,1843701542.65,45499,563414.0,78.73
TCS,EQ,2015-08-11,2572.1,2578.0,2610.0,2542.1,2600.8,2604.2,2595.57,1100153,2855526876.9,60746,777937.0,70.71
TCS,EQ,2015-08-12,2604.2,2603.1,2691.4,2602.0,2670.0,2671.7,2658.48,1739892,4625460143.15,116770,1317431.0,75.72
TCS,EQ,2015-08-13,2671.7,2670.0,2684.0,2556.0,2638.35,2635.6,2652.19,703213,1865057138.1,47820,460590.0,65.5
TCS,EQ,2015-08-14,2635.6,2638.0,2719.35,2637.1,2692.05,2703.2,2688.81,1146982,3084016067.4,82195,766818.0,66.86
TCS,EQ,2015-08-17,2703.2,2690.1,2696.8,2655.0,2685.9,2684.75,2673.6,386822,1034207797.2,30502,206955.0,53.5
TCS,EQ,2015-08-18,2684.75,2706.9,2749.9,2690.0,2745.95,2740.9,2736.66,958463,2622984632.55,100314,623865.0,65.09
TCS,EQ,2015-08-19,2740.9,2750.0,2752.85,2721.9,2727.0,2733.6,2739.06,845035,2314600373.5,90389,588336.0,69.62
TCS,EQ,2015-08-20,2733.6,2745.0,2745.0,2672.0,2686.5,2686.85,2702.74,1174649,3174771771.2,105196,842334.0,71.71
TCS,EQ,2015-08-21,2686.85,2712.0,2729.9,2655.1,2671.0,2676.15,2684.3,1768040,4745943361.3,113746,1315006.0,74.38
TCS,EQ,2015-08-24,2676.15,2639.0,2645.0,2569.1,2586.0,2578.65,2599.95,2346172,6099928317.6,98288,1766434.0,75.29
TCS,EQ,2015-08-25,2578.65,2587.9,2622.0,2535.5,2564.8,2567.15,2574.64,1962900,5053751284.75,90437,1340952.0,68.31
TCS,EQ,2015-08-26,2567.15,2558.05,2639.0,2511.95,2579.8,2576.75,2591.93,1608079,4168033295.3,92978,1139025.0,70.83
TCS,EQ,2015-08-27,2576.75,2614.9,2614.9,2545.8,2567.0,2574.65,2572.91,2632399,6772916405.9,126702,2065390.0,78.46
TCS,EQ,2015-08-28,2574.65,2609.0,2609.0,2557.7,2563.1,2570.85,2581.92,1372076,3542585118.95,102566,1063723.0,77.53
TCS,EQ,2015-08-31,2570.85,2590.0,2590.0,2531.05,2575.0,2564.05,2566.03,1846022,4736944518.7,109961,1434044.0,77.68
TCS,EQ,2015-09-01,2564.05,2556.0,2611.2,2530.0,2533.2,2537.4,2574.5,1493801,3845789530.5,96695,981661.0,65.72
TCS,EQ,2015-09-02,2537.4,2559.7,2620.45,2548.0,2600.0,2591.8,2595.11,1882975,4886522945.45,114103,1263275.0,67.09
TCS,EQ,2015-09-03,2591.8,2596.1,2615.0,2576.25,2606.0,2605.6,2594.76,1132537,2938659690.2,91703,745864.0,65.86
TCS,EQ,2015-09-04,2605.6,2611.4,2614.9,2539.15,2544.0,2547.45,2568.96,1213198,3116651985.35,124154,800848.0,66.01
TCS,EQ,2015-09-07,2547.45,2553.0,2559.95,2532.7,2539.6,2539.75,2546.5,879592,2239883159.8,73248,638480.0,72.59
TCS,EQ,2015-09-08,2539.75,2545.0,2564.1,2523.5,2540.3,2540.3,2540.52,893873,2270899930.95,64944,616912.0,69.02
TCS,EQ,2015-09-09,2540.3,2562.95,2574.0,2544.0,2551.0,2549.75,2558.04,1022538,2615692014.25,62654,625155.0,61.14
TCS,EQ,2015-09-10,2549.75,2542.0,2578.5,2527.0,2550.0,2545.4,2553.83,1332909,3404019638.1,96715,916263.0,68.74
TCS,EQ,2015-09-11,2545.4,2546.5,2568.4,2540.6,2549.8,2552.0,2553.59,796336,2033516637.85,60997,560414.0,70.37
TCS,EQ,2015-09-14,2552.0,2565.0,2565.0,2543.0,2548.0,2551.65,2552.98,794659,2028750151.55,57713,577291.0,72.65
TCS,EQ,2015-09-15,2551.65,2551.65,2558.9,2536.0,2537.25,2547.6,2548.86,689950,1758583961.95,64604,485074.0,70.31
TCS,EQ,2015-09-16,2547.6,2555.0,2565.0,2541.05,2548.0,2550.35,2553.8,878408,2243276051.65,69451,634884.0,72.28
TCS,EQ,2015-09-18,2550.35,2565.0,2586.0,2539.0,2545.0,2551.25,2565.18,1227647,3149141305.85,70579,870927.0,70.94
TCS,EQ,2015-09-21,2551.25,2550.0,2557.1,2533.2,2555.65,2551.05,2545.78,554420,1411429757.4,59635,370607.0,66.85
TCS,EQ,2015-09-22,2551.05,2557.5,2572.4,2490.0,2522.55,2526.8,2545.14,1040623,2648536284.15,72612,671655.0,64.54
TCS,EQ,2015-09-23,2526.8,2534.3,2557.75,2512.6,2534.6,2532.65,2533.36,614176,1555931596.75,37626,345011.0,56.17
TCS,EQ,2015-09-24,2532.65,2535.5,2590.0,2529.9,2579.0,2580.4,2561.8,1177127,3015562644.85,71506,824902.0,70.08
TCS,EQ,2015-09-28,2580.4,2594.0,2619.0,2579.5,2600.0,2593.7,2603.35,1183406,3080820833.95,77392,894029.0,75.55
TCS,EQ,2015-09-29,2593.7,2583.35,2634.0,2569.85,2592.0,2588.25,2603.73,1662976,4329946170.65,103754,1244496.0,74.84
TCS,EQ,2015-09-30,2588.25,2643.7,2643.7,2570.95,2585.0,2588.05,2585.98,1684168,4355227068.05,81073,1273762.0,75.63
TCS,EQ,2015-10-01,2588.05,2599.0,2649.95,2592.2,2641.1,2644.6,2630.47,1417204,3727914114.8,94874,1002629.0,70.75
TCS,EQ,2015-10-05,2644.6,2652.7,2770.0,2652.7,2719.9,2711.65,2711.39,2403653,6517248343.2,146358,1616394.0,67.25
