"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"WIPRO","EQ","29-Dec-2023","469.45","470.95","475.35","466.10","470.80","471.30","471.63","79,80,570","3,76,38,68,120.80","1,30,529","29,04,964","36.40"
"WIPRO","EQ","28-Dec-2023","470.95","472.55","477.40","467.65","469.00","469.45","471.54","84,19,978","3,97,03,70,034.45","1,52,805","34,36,161","40.81"
"WIPRO","EQ","27-Dec-2023","470.10","468.50","475.40","464.10","470.00","470.95","470.25","1,26,31,496","5,93,99,28,530.50","2,00,199","45,24,489","35.82"
"WIPRO","EQ","26-Dec-2023","462.65","454.00","475.80","448.35","469.70","470.10","466.73","2,73,14,322","12,74,82,99,048.10","3,26,049","85,73,859","31.39"
"WIPRO","EQ","22-Dec-2023","434.00","435.30","466.30","434.00","461.90","462.65","455.69","2,30,40,407","10,49,93,49,828.90","3,17,516","70,13,988","30.44"
"WIPRO","EQ","21-Dec-2023","431.95","428.90","436.50","427.20","434.90","434.00","433.27","53,31,504","2,31,00,02,064.65","1,45,804","14,89,824","27.94"
"WIPRO","EQ","20-Dec-2023","438.70","442.00","449.50","429.35","430.50","431.95","441.59","1,32,24,971","5,84,00,16,260.20","2,41,669","45,25,325","34.22"
"WIPRO","EQ","19-Dec-2023","445.25","445.60","447.35","435.00","438.20","438.70","439.32","80,32,347","3,52,87,63,708.00","1,89,808","33,23,823","41.38"
"WIPRO","EQ","18-Dec-2023","446.55","446.00","453.50","442.00","444.30","445.25","447.94","1,00,91,036","4,52,01,40,211.05","1,91,284","35,92,732","35.60"
"WIPRO","EQ","15-Dec-2023","434.40","436.05","449.50","433.50","445.80","446.55","444.43","2,07,83,617","9,23,69,17,892.75","2,96,539","80,36,762","38.67"
"WIPRO","EQ","14-Dec-2023","419.65","423.50","436.00","423.25","434.00","434.40","431.28","1,23,40,688","5,32,23,08,022.95","2,14,863","56,70,233","45.95"
"WIPRO","EQ","13-Dec-2023","422.20","423.55","424.30","415.00","419.90","419.65","418.87","48,48,408","2,03,08,65,280.15","99,654","23,37,305","48.21"
"WIPRO","EQ","12-Dec-2023","420.60","420.70","427.90","420.15","422.00","422.20","424.02","59,51,682","2,52,36,31,269.95","1,17,032","25,84,980","43.43"
"WIPRO","EQ","11-Dec-2023","422.60","420.00","422.20","417.25","420.00","420.60","420.33","50,42,121","2,11,93,33,559.45","1,01,686","20,94,498","41.54"
"WIPRO","EQ","08-Dec-2023","418.25","418.80","424.50","415.00","424.00","422.60","420.50","77,39,561","3,25,45,03,888.50","1,32,597","24,65,572","31.86"
"WIPRO","EQ","07-Dec-2023","418.75","420.00","421.50","416.65","418.30","418.25","418.75","56,25,276","2,35,56,00,588.35","1,05,558","22,79,747","40.53"
