"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TCS","EQ","30-Jun-2023","3,215.45","3,220.00","3,310.00","3,214.10","3,298.40","3,302.25","3,280.38","26,72,406","8,76,65,01,093.15","2,05,777","16,83,039","62.98"
"TCS","EQ","28-Jun-2023","3,197.35","3,208.00","3,230.95","3,193.40","3,221.00","3,215.45","3,215.84","15,75,872","5,06,77,55,614.75","1,25,121","10,31,195","65.44"
"TCS","EQ","27-Jun-2023","3,189.65","3,202.00","3,209.65","3,182.30","3,197.30","3,197.35","3,194.42","8,63,542","2,75,85,15,355.75","67,679","4,82,048","55.82"
"TCS","EQ","26-Jun-2023","3,216.35","3,205.00","3,213.90","3,173.00","3,190.00","3,189.65","3,189.39","19,78,803","6,31,11,73,590.25","1,07,706","14,18,808","71.70"
"TCS","EQ","23-Jun-2023","3,238.50","3,237.30","3,249.40","3,209.15","3,213.90","3,216.35","3,221.22","11,19,505","3,60,61,76,034.70","67,908","7,22,267","64.52"
"TCS","EQ","22-Jun-2023","3,258.20","3,260.00","3,267.65","3,230.10","3,240.50","3,238.50","3,246.23","15,29,603","4,96,54,44,088.75","83,159","8,62,059","56.36"
"TCS","EQ","21-Jun-2023","3,227.70","3,250.00","3,261.40","3,223.95","3,257.00","3,258.20","3,247.51","16,45,987","5,34,53,59,097.25","91,009","11,59,778","70.46"
"TCS","EQ","20-Jun-2023","3,210.40","3,214.00","3,232.50","3,201.05","3,229.90","3,227.70","3,218.86","15,28,452","4,91,98,76,426.10","72,353","11,07,358","72.45"
"TCS","EQ","19-Jun-2023","3,174.90","3,190.00","3,214.90","3,175.00","3,207.10","3,210.40","3,194.51","14,68,186","4,69,01,30,908.90","88,271","9,60,753","65.44"
"TCS","EQ","16-Jun-2023","3,216.30","3,197.00","3,199.40","3,156.00","3,177.30","3,174.90","3,175.76","41,56,189","13,19,90,71,871.50","2,14,155","28,70,473","69.07"
"TCS","EQ","15-Jun-2023","3,251.05","3,245.30","3,247.45","3,210.00","3,215.30","3,216.30","3,225.77","22,73,810","7,33,47,85,641.40","1,04,925","13,40,142","58.94"
"TCS","EQ","14-Jun-2023","3,243.70","3,243.70","3,255.85","3,225.85","3,245.30","3,251.05","3,244.95","16,58,544","5,38,18,90,991.70","92,990","10,90,597","65.76"
"TCS","EQ","13-Jun-2023","3,246.90","3,260.00","3,265.00","3,239.00","3,244.90","3,243.70","3,249.64","13,71,928","4,45,82,73,417.90","90,189","9,25,622","67.47"
"TCS","EQ","12-Jun-2023","3,209.30","3,215.00","3,254.40","3,211.00","3,248.40","3,246.90","3,238.21","23,24,605","7,52,75,61,262.20","99,385","15,86,137","68.23"
"TCS","EQ","09-Jun-2023","3,236.45","3,245.00","3,250.00","3,205.35","3,210.00","3,209.30","3,219.25","17,75,689","5,71,63,88,482.00","1,19,166","12,86,294","72.44"
"TCS","EQ","08-Jun-2023","3,274.90","3,261.00","3,270.00","3,233.00","3,236.00","3,236.45","3,246.40","17,59,366","5,71,16,13,268.75","1,05,766","11,90,503","67.67"
"TCS","EQ","07-Jun-2023","3,232.30","3,253.00","3,278.85","3,241.00","3,274.55","3,274.90","3,261.20","15,67,196","5,11,09,39,240.45","82,630","9,08,370","57.96"
"TCS","EQ","06-Jun-2023","3,288.90","3,280.00","3,288.85","3,220.60","3,237.00","3,232.30","3,235.85","20,22,849","6,54,56,33,590.60","1,58,147","11,96,281","59.14"
"TCS","EQ","05-Jun-2023","3,305.60","3,315.00","3,327.00","3,285.05","3,289.30","3,288.90","3,301.42","18,61,468","6,14,54,82,702.90","94,288","14,23,821","76.49"
"TCS","EQ","02-Jun-2023","3,324.00","3,326.25","3,335.90","3,297.45","3,306.40","3,305.60","3,310.69","20,30,661","6,72,28,79,743.50","1,32,777","14,91,358","73.44"
"TCS","EQ","01-Jun-2023","3,289.50","3,314.00","3,340.00","3,297.50","3,322.00","3,324.00","3,325.54","11,77,314","3,91,52,00,315.10","1,07,605","7,03,106","59.72"
"TCS","EQ","31-May-2023","3,316.20","3,309.00","3,327.70","3,265.15","3,286.00","3,289.50","3,294.05","58,15,424","19,15,62,82,297.40","1,71,593","47,24,406","81.24"
"TCS","EQ","30-May-2023","3,320.35","3,315.00","3,326.95","3,301.35","3,315.15","3,316.20","3,311.75","13,44,224","4,45,17,39,910.30","1,05,175","9,28,751","69.09"
"TCS","EQ","29-May-2023","3,328.90","3,360.80","3,372.00","3,312.00","3,320.70","3,320.35","3,333.70","12,10,372","4,03,50,20,143.50","89,980","7,10,296","58.68"
"TCS","EQ","26-May-2023","3,293.50","3,293.50","3,338.65","3,291.00","3,331.70","3,328.90","3,310.97","17,91,115","5,93,03,31,787.45","1,03,741","12,75,664","71.22"
"TCS","EQ","25-May-2023","3,303.35","3,294.00","3,306.00","3,267.10","3,295.00","3,293.50","3,287.20","13,74,917","4,51,96,33,216.35","76,662","6,42,540","46.73"
"TCS","EQ","24-May-2023","3,297.05","3,276.00","3,317.20","3,276.00","3,303.50","3,303.35","3,302.83","10,16,555","3,35,75,04,888.10","57,423","7,07,192","69.57"
"TCS","EQ","23-May-2023","3,298.70","3,306.00","3,327.95","3,290.10","3,295.00","3,297.05","3,310.23","16,87,418","5,58,57,48,304.90","1,40,257","11,91,550","70.61"
"TCS","EQ","22-May-2023","3,222.85","3,230.00","3,308.45","3,217.05","3,292.00","3,298.70","3,272.82","13,33,243","4,36,34,57,756.40","1,16,693","7,49,287","56.20"
"TCS","EQ","19-May-2023","3,199.85","3,210.00","3,234.50","3,203.05","3,224.55","3,222.85","3,219.92","11,52,449","3,71,07,96,199.45","74,505","6,70,808","58.21"
"TCS","EQ","18-May-2023","3,208.70","3,225.95","3,228.95","3,195.00","3,200.00","3,199.85","3,203.72","13,69,364","4,38,70,53,720.55","96,133","7,72,031","56.38"
"TCS","EQ","17-May-2023","3,258.15","3,255.95","3,280.00","3,198.25","3,209.00","3,208.70","3,216.79","15,88,815","5,11,08,82,505.40","1,32,490","10,27,065","64.64"
"TCS","EQ","16-May-2023","3,255.05","3,256.20","3,285.00","3,250.45","3,255.95","3,258.15","3,266.60","9,86,306","3,22,18,71,014.75","84,131","6,35,424","64.42"
"TCS","EQ","15-May-2023","3,274.30","3,284.00","3,292.00","3,248.35","3,251.50","3,255.05","3,272.51","11,50,390","3,76,46,61,351.00","84,958","7,02,154","61.04"
"TCS","EQ","12-May-2023","3,282.15","3,279.15","3,290.00","3,260.00","3,277.00","3,274.30","3,274.10","10,27,479","3,36,40,70,116.35","96,840","6,07,680","59.14"
