"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TCS","EQ","30-Jun-2021","3,340.85","3,346.00","3,382.00","3,338.50","3,351.00","3,345.75","3,356.80","16,93,146","5,68,35,48,098.95","1,01,344","9,58,794","56.63"
"TCS","EQ","29-Jun-2021","3,336.75","3,342.00","3,366.30","3,326.50","3,335.25","3,340.85","3,344.11","14,97,322","5,00,72,16,160.85","97,261","8,74,417","58.40"
"TCS","EQ","28-Jun-2021","3,380.80","3,391.50","3,391.50","3,333.00","3,342.00","3,336.75","3,345.72","13,55,238","4,53,42,49,770.00","80,472","6,69,783","49.42"
"TCS","EQ","25-Jun-2021","3,373.60","3,375.25","3,399.65","3,350.00","3,371.00","3,380.80","3,377.11","27,22,861","9,19,54,12,962.85","1,12,139","15,82,890","58.13"
"TCS","EQ","24-Jun-2021","3,261.40","3,284.00","3,383.00","3,278.50","3,370.00","3,373.60","3,344.69","41,55,204","13,89,78,53,675.10","1,91,883","18,37,245","44.22"
"TCS","EQ","23-Jun-2021","3,301.20","3,329.00","3,329.00","3,256.40","3,267.30","3,261.40","3,277.84","14,67,104","4,80,89,28,707.90","97,430","9,60,116","65.44"
"TCS","EQ","22-Jun-2021","3,273.10","3,304.00","3,327.05","3,285.00","3,304.00","3,301.20","3,309.41","17,08,688","5,65,47,51,060.65","91,864","9,60,829","56.23"
"TCS","EQ","21-Jun-2021","3,297.30","3,265.00","3,286.00","3,251.70","3,273.00","3,273.10","3,270.48","11,30,569","3,69,75,04,601.30","77,545","5,67,529","50.20"
"TCS","EQ","18-Jun-2021","3,317.75","3,350.90","3,358.00","3,275.00","3,303.00","3,297.30","3,312.52","33,80,431","11,19,77,61,791.30","1,41,335","18,57,893","54.96"
"TCS","EQ","17-Jun-2021","3,274.35","3,265.50","3,336.05","3,260.00","3,328.00","3,317.75","3,295.52","22,73,413","7,49,20,87,861.65","1,31,862","13,08,141","57.54"
"TCS","EQ","16-Jun-2021","3,262.75","3,262.10","3,294.70","3,253.00","3,270.00","3,274.35","3,273.56","16,35,552","5,35,40,77,782.45","92,225","9,73,246","59.51"
"TCS","EQ","15-Jun-2021","3,276.35","3,298.00","3,298.00","3,251.55","3,262.00","3,262.75","3,275.11","13,04,985","4,27,39,70,422.60","96,054","6,94,189","53.20"
"TCS","EQ","14-Jun-2021","3,273.80","3,279.00","3,308.70","3,270.35","3,277.15","3,276.35","3,284.58","18,47,360","6,06,77,99,808.60","82,241","9,25,400","50.09"
"TCS","EQ","11-Jun-2021","3,216.80","3,211.55","3,309.00","3,211.00","3,279.00","3,273.80","3,269.42","34,52,954","11,28,91,68,561.40","1,39,241","14,28,491","41.37"
"TCS","EQ","10-Jun-2021","3,200.25","3,210.00","3,224.00","3,193.00","3,216.00","3,216.80","3,210.54","18,74,324","6,01,75,89,512.15","1,00,093","10,02,378","53.48"
"TCS","EQ","09-Jun-2021","3,200.15","3,202.00","3,220.00","3,186.20","3,199.70","3,200.25","3,202.19","17,10,925","5,47,87,05,691.35","75,025","9,96,569","58.25"
"TCS","EQ","08-Jun-2021","3,183.20","3,198.00","3,231.00","3,187.20","3,199.35","3,200.15","3,212.89","25,74,057","8,27,01,59,545.55","1,15,327","13,14,327","51.06"
"TCS","EQ","07-Jun-2021","3,143.75","3,145.00","3,190.45","3,133.60","3,187.00","3,183.20","3,157.52","25,59,821","8,08,26,89,475.70","1,02,542","15,87,945","62.03"
"TCS","EQ","04-Jun-2021","3,141.25","3,128.00","3,156.85","3,125.00","3,138.50","3,143.75","3,140.46","18,36,060","5,76,60,71,003.15","78,503","11,17,232","60.85"
"TCS","EQ","03-Jun-2021","3,129.45","3,154.55","3,154.55","3,122.65","3,144.90","3,141.25","3,136.68","12,81,706","4,02,03,00,713.05","91,185","6,17,798","48.20"
"TCS","EQ","02-Jun-2021","3,153.00","3,150.85","3,159.45","3,115.00","3,135.00","3,129.45","3,128.08","22,40,078","7,00,71,34,474.80","1,32,990","14,11,614","63.02"
"TCS","EQ","01-Jun-2021","3,159.15","3,168.60","3,169.95","3,132.00","3,153.90","3,153.00","3,147.93","13,77,441","4,33,60,83,044.90","91,948","7,48,839","54.36"
"TCS","EQ","31-May-2021","3,143.60","3,150.00","3,170.35","3,128.60","3,163.40","3,159.15","3,155.52","16,52,799","5,21,54,39,448.10","86,026","7,31,415","44.25"
"TCS","EQ","28-May-2021","3,180.00","3,189.50","3,198.00","3,135.65","3,146.35","3,143.60","3,161.25","17,63,701","5,57,54,92,889.05","98,509","9,41,310","53.37"
"TCS","EQ","27-May-2021","3,158.50","3,161.95","3,217.75","3,161.80","3,198.00","3,180.00","3,189.10","59,59,785","19,00,63,45,222.15","1,81,046","37,33,267","62.64"
