"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TCS","EQ","31-Dec-2019","2,183.20","2,189.00","2,197.00","2,157.45","2,165.00","2,161.70","2,171.67","19,09,289","4,14,63,54,804.75","69,597","8,37,101","43.84"
"TCS","EQ","30-Dec-2019","2,198.50","2,207.00","2,225.00","2,177.10","2,183.35","2,183.20","2,194.63","22,88,830","5,02,31,40,879.40","84,027","9,35,920","40.89"
"TCS","EQ","27-Dec-2019","2,201.95","2,208.00","2,226.40","2,176.00","2,209.90","2,198.50","2,192.11","27,20,261","5,96,31,18,728.70","93,892","12,85,882","47.27"
"TCS","EQ","26-Dec-2019","2,215.60","2,216.40","2,229.00","2,195.20","2,202.00","2,201.95","2,207.75","18,80,367","4,15,13,71,219.35","89,812","8,32,102","44.25"
"TCS","EQ","24-Dec-2019","2,231.70","2,239.00","2,243.55","2,211.15","2,216.00","2,215.60","2,223.00","18,05,896","4,01,45,04,828.20","1,00,655","8,92,665","49.43"
"TCS","EQ","23-Dec-2019","2,222.90","2,210.00","2,241.95","2,210.00","2,236.00","2,231.70","2,229.75","22,47,329","5,01,09,82,045.90","1,13,685","11,68,998","52.02"
"TCS","EQ","20-Dec-2019","2,229.05","2,220.00","2,246.70","2,208.25","2,219.00","2,222.90","2,225.89","55,48,338","12,34,99,76,608.60","1,58,986","26,75,704","48.23"
"TCS","EQ","19-Dec-2019","2,167.75","2,179.80","2,236.50","2,167.55","2,231.70","2,229.05","2,202.61","62,51,505","13,76,96,08,434.50","1,81,580","25,70,929","41.12"
"TCS","EQ","18-Dec-2019","2,164.95","2,174.00","2,203.45","2,153.00","2,166.80","2,167.75","2,182.48","82,51,081","18,00,78,21,655.85","1,98,563","45,20,690","54.79"
"TCS","EQ","17-Dec-2019","2,126.75","2,126.50","2,169.00","2,119.00","2,168.70","2,164.95","2,154.70","60,59,673","13,05,67,90,687.25","2,17,425","34,57,795","57.06"
"TCS","EQ","16-Dec-2019","2,071.25","2,096.00","2,136.00","2,080.30","2,130.00","2,126.75","2,116.76","55,74,177","11,79,92,18,410.35","1,72,181","28,52,266","51.17"
"TCS","EQ","13-Dec-2019","2,020.90","2,023.00","2,077.40","2,007.00","2,070.00","2,071.25","2,050.09","57,11,133","11,70,83,34,592.10","1,73,478","22,45,573","39.32"
"TCS","EQ","12-Dec-2019","2,041.90","2,051.10","2,083.65","1,984.00","2,003.00","2,020.90","2,039.92","71,37,306","14,55,95,33,846.75","1,46,550","44,52,408","62.38"
"TCS","EQ","11-Dec-2019","2,012.85","2,025.40","2,048.00","2,006.75","2,040.00","2,041.90","2,032.84","49,43,024","10,04,83,63,660.60","1,65,464","30,04,311","60.78"
"TCS","EQ","10-Dec-2019","2,060.45","2,060.00","2,060.85","2,003.25","2,016.25","2,012.85","2,020.99","45,20,045","9,13,49,65,070.30","1,74,993","22,72,296","50.27"
"TCS","EQ","09-Dec-2019","2,123.60","2,127.95","2,127.95","2,053.50","2,060.00","2,060.45","2,079.93","22,44,747","4,66,89,09,748.75","1,00,785","10,47,181","46.65"
"TCS","EQ","06-Dec-2019","2,121.30","2,124.00","2,128.00","2,101.00","2,123.65","2,123.60","2,116.56","18,29,461","3,87,21,56,015.05","71,365","8,15,426","44.57"
"TCS","EQ","05-Dec-2019","2,078.50","2,083.00","2,126.80","2,068.35","2,120.20","2,121.30","2,107.54","39,02,721","8,22,51,50,032.20","1,68,163","20,93,683","53.65"
"TCS","EQ","04-Dec-2019","2,051.00","2,053.00","2,082.00","2,045.50","2,077.00","2,078.50","2,067.16","33,34,301","6,89,25,36,517.65","1,08,026","20,56,925","61.69"
"TCS","EQ","03-Dec-2019","2,021.05","2,027.70","2,062.00","2,010.00","2,052.95","2,051.00","2,044.01","46,64,774","9,53,48,47,755.00","1,42,334","26,74,853","57.34"
"TCS","EQ","02-Dec-2019","2,053.25","2,060.00","2,067.70","2,016.00","2,021.00","2,021.05","2,030.47","38,09,860","7,73,57,97,778.70","1,59,643","25,40,551","66.68"
"TCS","EQ","29-Nov-2019","2,077.35","2,085.00","2,085.00","2,045.80","2,051.65","2,053.25","2,055.87","20,64,271","4,24,38,79,652.00","1,05,237","12,00,921","58.18"
"TCS","EQ","28-Nov-2019","2,054.30","2,067.05","2,094.40","2,060.00","2,075.90","2,077.35","2,081.33","29,24,429","6,08,67,06,922.95","1,42,488","16,51,510","56.47"
