"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","31-Dec-2025","1,539.80","1,541.00","1,577.00","1,541.00","1,569.00","1,570.40","1,566.86","57,71,830","9,04,36,50,348.50","1,41,792","29,78,159","51.60"
"RELIANCE","EQ","30-Dec-2025","1,545.60","1,547.00","1,553.60","1,537.80","1,541.00","1,539.80","1,543.21","88,15,884","13,60,47,45,435.00","1,99,428","49,65,382","56.32"
"RELIANCE","EQ","29-Dec-2025","1,559.20","1,554.90","1,558.10","1,543.60","1,546.70","1,545.60","1,547.80","59,72,105","9,24,36,16,142.30","1,58,162","29,87,586","50.03"
"RELIANCE","EQ","26-Dec-2025","1,558.20","1,554.70","1,561.00","1,554.30","1,560.00","1,559.20","1,558.05","23,11,495","3,60,14,35,338.70","81,976","12,82,416","55.48"
"RELIANCE","EQ","24-Dec-2025","1,570.70","1,572.70","1,575.70","1,553.60","1,560.60","1,558.20","1,559.55","88,15,745","13,74,86,00,530.90","2,43,970","43,92,605","49.83"
"RELIANCE","EQ","23-Dec-2025","1,575.40","1,580.90","1,580.90","1,568.10","1,569.00","1,570.70","1,573.01","75,06,564","11,80,79,16,323.50","1,79,265","23,44,588","31.23"
"RELIANCE","EQ","22-Dec-2025","1,565.10","1,573.50","1,577.50","1,565.30","1,577.00","1,575.40","1,571.96","1,01,84,852","16,01,02,06,159.50","3,71,017","67,79,085","66.56"
"RELIANCE","EQ","19-Dec-2025","1,544.40","1,554.40","1,574.20","1,551.00","1,564.90","1,565.10","1,566.60","1,39,37,275","21,83,41,30,206.80","2,79,233","94,11,406","67.53"
"RELIANCE","EQ","18-Dec-2025","1,544.40","1,535.20","1,551.50","1,535.20","1,543.50","1,544.40","1,545.30","65,80,829","10,16,93,53,778.00","1,75,814","32,02,789","48.67"
"RELIANCE","EQ","17-Dec-2025","1,542.30","1,550.00","1,550.00","1,539.30","1,545.10","1,544.40","1,544.14","71,16,649","10,98,91,03,491.90","1,76,852","38,02,545","53.43"
"RELIANCE","EQ","16-Dec-2025","1,556.20","1,545.00","1,551.70","1,538.80","1,540.70","1,542.30","1,544.30","1,17,31,856","18,11,75,38,818.10","2,46,980","44,05,594","37.55"
"RELIANCE","EQ","15-Dec-2025","1,556.50","1,551.20","1,558.60","1,546.50","1,557.00","1,556.20","1,553.69","57,74,543","8,97,18,36,560.70","1,85,872","39,25,713","67.98"
"RELIANCE","EQ","12-Dec-2025","1,545.00","1,550.80","1,559.80","1,546.10","1,554.30","1,556.50","1,555.21","51,06,655","7,94,19,40,758.50","1,39,702","34,05,248","66.68"
"RELIANCE","EQ","11-Dec-2025","1,536.90","1,536.90","1,550.00","1,524.00","1,543.00","1,545.00","1,540.61","47,06,197","7,25,04,28,118.40","1,68,155","22,12,402","47.01"
"RELIANCE","EQ","10-Dec-2025","1,529.40","1,534.00","1,547.50","1,531.40","1,533.50","1,536.90","1,539.72","79,91,629","12,30,48,93,787.50","2,02,989","53,65,813","67.14"
"RELIANCE","EQ","09-Dec-2025","1,543.00","1,540.30","1,542.50","1,520.10","1,532.40","1,529.40","1,530.00","1,15,03,971","17,60,10,83,501.20","2,05,129","64,92,653","56.44"
"RELIANCE","EQ","08-Dec-2025","1,540.60","1,539.20","1,551.00","1,535.00","1,539.90","1,543.00","1,540.71","1,13,01,491","17,41,23,09,977.70","1,82,756","66,13,331","58.52"
"RELIANCE","EQ","05-Dec-2025","1,535.60","1,530.40","1,545.80","1,520.60","1,544.60","1,540.60","1,534.80","1,01,83,266","15,62,92,90,582.50","1,81,528","65,39,615","64.22"
"RELIANCE","EQ","04-Dec-2025","1,538.80","1,536.00","1,560.50","1,517.60","1,525.30","1,535.60","1,543.73","1,18,67,930","18,32,08,33,054.60","2,03,260","77,07,822","64.95"
"RELIANCE","EQ","03-Dec-2025","1,546.30","1,545.20","1,552.40","1,533.00","1,539.10","1,538.80","1,539.45","60,90,883","9,37,65,93,978.90","1,56,721","40,53,636","66.55"
"RELIANCE","EQ","02-Dec-2025","1,566.10","1,561.10","1,567.50","1,542.00","1,548.30","1,546.30","1,550.62","1,13,89,150","17,66,02,97,036.30","3,23,713","74,33,861","65.27"
"RELIANCE","EQ","01-Dec-2025","1,567.50","1,575.00","1,577.50","1,563.60","1,566.50","1,566.10","1,571.31","89,20,233","14,01,64,86,649.50","2,92,601","49,19,907","55.15"
"RELIANCE","EQ","28-Nov-2025","1,563.40","1,568.00","1,581.30","1,563.00","1,569.00","1,567.50","1,571.94","89,59,508","14,08,38,38,960.40","2,29,373","48,92,138","54.60"
"RELIANCE","EQ","27-Nov-2025","1,569.90","1,575.00","1,575.50","1,556.00","1,564.80","1,563.40","1,563.68","97,94,643","15,31,57,04,900.90","2,78,929","56,55,438","57.74"
"RELIANCE","EQ","26-Nov-2025","1,539.70","1,542.30","1,571.60","1,540.50","1,569.60","1,569.90","1,562.98","1,40,54,299","21,96,65,88,733.90","2,85,274","85,61,296","60.92"
"RELIANCE","EQ","25-Nov-2025","1,535.90","1,535.90","1,559.60","1,525.10","1,540.00","1,539.70","1,546.34","1,50,33,482","23,24,69,09,829.70","2,99,805","78,63,116","52.30"
"RELIANCE","EQ","24-Nov-2025","1,546.60","1,550.00","1,550.00","1,531.80","1,534.90","1,535.90","1,537.26","1,84,33,951","28,33,78,41,303.40","1,98,313","1,28,18,848","69.54"
