"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","04-Sep-2026","1,302.50","1,304.10","1,333.00","1,304.10","1,322.00","1,322.00","1,326.29","1,30,31,534","17,28,35,87,823.90","1,81,295","86,00,946","66.00"
"RELIANCE","EQ","03-Sep-2026","1,313.10","1,313.10","1,316.80","1,302.50","1,302.50","1,302.50","1,308.70","97,21,454","12,72,24,56,176.50","1,58,231","53,06,274","54.58"
"RELIANCE","EQ","02-Sep-2026","1,309.00","1,298.00","1,321.90","1,293.10","1,313.10","1,313.10","1,308.95","1,34,97,841","17,66,80,58,961.20","1,96,257","84,62,199","62.69"
"RELIANCE","EQ","01-Sep-2026","1,277.00","1,285.00","1,311.80","1,280.00","1,309.00","1,309.00","1,299.72","1,26,17,528","16,39,92,80,651.70","1,87,471","74,56,999","59.10"
"RELIANCE","EQ","31-Aug-2026","1,287.00","1,278.70","1,297.60","1,271.00","1,277.00","1,277.00","1,278.43","3,48,71,137","44,58,02,83,834.50","2,44,866","3,03,29,813","86.98"
"RELIANCE","EQ","28-Aug-2026","1,282.20","1,284.90","1,291.80","1,280.00","1,287.00","1,287.00","1,284.52","68,30,228","8,77,35,45,135.70","1,66,675","40,52,582","59.33"
"RELIANCE","EQ","27-Aug-2026","1,298.00","1,305.00","1,308.40","1,282.20","1,282.20","1,282.20","1,292.18","1,12,71,497","14,56,48,25,828.90","2,18,067","62,82,905","55.74"
"RELIANCE","EQ","26-Aug-2026","1,317.00","1,310.00","1,315.60","1,298.00","1,298.00","1,298.00","1,305.66","57,44,474","7,50,03,40,576.20","99,432","36,68,643","63.86"
"RELIANCE","EQ","25-Aug-2026","1,309.80","1,304.30","1,317.10","1,300.00","1,317.00","1,317.00","1,305.89","71,15,355","9,29,18,91,624.70","1,04,584","37,66,609","52.94"
"RELIANCE","EQ","24-Aug-2026","1,316.00","1,316.60","1,320.00","1,302.40","1,309.80","1,309.80","1,307.91","72,77,167","9,51,78,55,656.30","1,35,944","46,53,509","63.95"
"RELIANCE","EQ","21-Aug-2026","1,313.20","1,314.00","1,316.00","1,308.00","1,316.00","1,316.00","1,311.20","54,34,871","7,12,62,21,067.30","92,200","34,03,581","62.62"
"RELIANCE","EQ","20-Aug-2026","1,311.00","1,315.50","1,316.50","1,307.00","1,313.20","1,313.20","1,312.27","55,46,227","7,27,81,68,655.00","1,25,718","26,37,500","47.55"
"RELIANCE","EQ","19-Aug-2026","1,322.00","1,320.30","1,321.60","1,303.50","1,311.00","1,311.00","1,312.86","74,89,365","9,83,24,51,637.50","1,60,390","43,52,516","58.12"
"RELIANCE","EQ","18-Aug-2026","1,316.00","1,314.00","1,328.60","1,311.20","1,322.00","1,322.00","1,322.76","1,01,80,567","13,46,64,67,033.10","1,98,021","56,41,717","55.42"
"RELIANCE","EQ","17-Aug-2026","1,310.00","1,314.00","1,320.80","1,298.10","1,316.00","1,316.00","1,308.63","1,33,83,867","17,51,44,89,451.00","2,08,057","85,34,220","63.76"
"RELIANCE","EQ","14-Aug-2026","1,317.00","1,317.00","1,317.50","1,301.50","1,310.00","1,310.00","1,308.27","1,04,97,358","13,73,34,04,720.50","1,38,435","76,02,445","72.42"
"RELIANCE","EQ","13-Aug-2026","1,329.00","1,327.80","1,327.80","1,307.20","1,317.00","1,317.00","1,313.84","93,97,301","12,34,65,53,928.40","1,47,799","49,54,244","52.72"
"RELIANCE","EQ","12-Aug-2026","1,323.90","1,323.90","1,329.00","1,309.20","1,329.00","1,329.00","1,316.33","79,01,012","10,40,03,35,523.90","1,29,875","41,65,584","52.72"
"RELIANCE","EQ","11-Aug-2026","1,327.30","1,326.60","1,328.70","1,314.10","1,323.90","1,323.90","1,322.58","99,53,124","13,16,37,70,084.20","1,21,384","43,98,099","44.19"
"RELIANCE","EQ","10-Aug-2026","1,334.80","1,330.10","1,332.90","1,321.30","1,327.30","1,327.30","1,326.94","82,07,102","10,89,03,05,339.40","1,60,982","53,93,844","65.72"
"RELIANCE","EQ","07-Aug-2026","1,325.00","1,320.00","1,337.00","1,316.60","1,334.80","1,334.80","1,329.09","98,85,638","13,13,88,78,797.80","1,61,575","51,87,857","52.48"
"RELIANCE","EQ","06-Aug-2026","1,280.00","1,285.00","1,325.20","1,281.20","1,325.00","1,325.00","1,313.24","2,03,42,297","26,71,42,70,356.20","2,79,507","1,05,51,876","51.87"
"RELIANCE","EQ","05-Aug-2026","1,290.90","1,293.00","1,299.00","1,270.10","1,280.00","1,280.00","1,280.84","2,48,20,782","31,79,14,72,335.40","3,55,243","1,69,01,245","68.09"
"RELIANCE","EQ","04-Aug-2026","1,319.00","1,315.00","1,315.00","1,286.40","1,290.90","1,290.90","1,296.35","1,07,59,546","13,94,81,79,020.50","2,16,789","52,81,866","49.09"
"RELIANCE","EQ","03-Aug-2026","1,307.80","1,315.20","1,319.00","1,306.00","1,319.00","1,319.00","1,311.09","75,08,023","9,84,36,85,449.40","1,58,782","48,64,043","64.78"
"RELIANCE","EQ","31-Jul-2026","1,292.90","1,295.00","1,309.70","1,293.60","1,305.00","1,307.80","1,303.09","86,24,996","11,23,91,64,495.90","1,42,746","56,32,148","65.30"
"RELIANCE","EQ","30-Jul-2026","1,275.90","1,279.80","1,297.00","1,275.30","1,289.40","1,292.90","1,290.41","1,21,58,451","15,68,94,34,967.60","2,09,491","52,86,226","43.48"
"RELIANCE","EQ","29-Jul-2026","1,267.70","1,275.00","1,282.40","1,268.70","1,277.10","1,275.90","1,275.55","94,48,307","12,05,18,05,840.60","1,93,119","58,43,381","61.85"
"RELIANCE","EQ","28-Jul-2026","1,280.00","1,275.00","1,279.20","1,265.90","1,271.70","1,267.70","1,271.03","93,12,184","11,83,60,95,240.80","2,33,124","61,36,279","65.90"
"RELIANCE","EQ","27-Jul-2026","1,278.00","1,288.20","1,288.70","1,278.00","1,281.00","1,280.00","1,281.07","71,63,132","9,17,65,06,048.70","1,30,094","47,61,835","66.48"
"RELIANCE","EQ","24-Jul-2026","1,272.20","1,265.00","1,283.40","1,249.80","1,280.50","1,278.00","1,274.32","98,17,000","12,50,99,75,780.10","2,40,418","57,77,734","58.85"
"RELIANCE","EQ","23-Jul-2026","1,288.60","1,283.00","1,287.30","1,268.00","1,272.60","1,272.20","1,275.97","1,25,80,741","16,05,26,96,292.60","2,40,048","72,46,752","57.60"
"RELIANCE","EQ","22-Jul-2026","1,303.70","1,302.00","1,304.60","1,280.70","1,284.00","1,288.60","1,291.01","1,08,40,383","13,99,50,01,337.70","2,25,591","76,23,313","70.32"
"RELIANCE","EQ","21-Jul-2026","1,323.10","1,321.00","1,326.90","1,302.70","1,304.60","1,303.70","1,309.52","1,27,53,410","16,70,08,09,195.30","2,04,419","74,94,948","58.77"
"RELIANCE","EQ","20-Jul-2026","1,327.20","1,317.20","1,345.90","1,314.90","1,321.90","1,323.10","1,330.16","1,43,05,844","19,02,90,41,193.90","2,21,661","66,52,359","46.50"
"RELIANCE","EQ","17-Jul-2026","1,296.60","1,300.00","1,330.30","1,296.10","1,328.80","1,327.20","1,321.39","1,83,02,218","24,18,43,86,410.40","2,57,494","1,15,08,344","62.88"
"RELIANCE","EQ","16-Jul-2026","1,295.50","1,295.50","1,309.40","1,291.80","1,300.00","1,296.60","1,301.20","1,56,31,046","20,33,90,50,955.80","2,19,816","87,45,884","55.95"
"RELIANCE","EQ","15-Jul-2026","1,293.00","1,294.10","1,310.90","1,294.10","1,296.00","1,295.50","1,300.25","95,77,965","12,45,37,01,323.80","1,89,291","50,93,114","53.18"
"RELIANCE","EQ","14-Jul-2026","1,296.90","1,290.00","1,308.00","1,286.90","1,295.00","1,293.00","1,296.78","1,35,11,284","17,52,12,20,474.20","2,31,407","48,97,495","36.25"
"RELIANCE","EQ","13-Jul-2026","1,307.80","1,300.00","1,306.40","1,295.00","1,297.00","1,296.90","1,299.42","94,88,352","12,32,93,16,771.20","2,27,014","51,66,377","54.45"
"RELIANCE","EQ","10-Jul-2026","1,279.80","1,291.90","1,311.10","1,287.80","1,310.00","1,307.80","1,301.71","84,12,537","10,95,07,23,928.20","1,43,317","46,83,839","55.68"
"RELIANCE","EQ","09-Jul-2026","1,275.90","1,277.10","1,296.50","1,274.20","1,280.90","1,279.80","1,286.53","1,46,51,963","18,85,02,19,782.40","2,79,312","51,80,456","35.36"
"RELIANCE","EQ","08-Jul-2026","1,308.40","1,297.00","1,302.30","1,271.60","1,274.90","1,275.90","1,284.32","1,99,60,868","25,63,61,41,483.50","3,68,557","1,14,07,500","57.15"
"RELIANCE","EQ","07-Jul-2026","1,321.30","1,323.50","1,328.00","1,304.10","1,305.00","1,308.40","1,314.21","1,43,35,554","18,83,98,74,763.20","2,62,924","76,55,322","53.40"
"RELIANCE","EQ","06-Jul-2026","1,304.00","1,304.00","1,325.60","1,299.40","1,321.70","1,321.30","1,316.79","76,10,709","10,02,16,98,838.70","2,10,015","41,07,659","53.97"
"RELIANCE","EQ","03-Jul-2026","1,303.50","1,312.00","1,312.00","1,302.00","1,305.00","1,304.00","1,305.14","78,39,550","10,23,17,33,311.40","2,09,968","51,82,007","66.10"
"RELIANCE","EQ","02-Jul-2026","1,308.00","1,310.00","1,313.20","1,299.00","1,301.90","1,303.50","1,303.94","1,77,95,024","23,20,35,84,205.10","3,31,954","1,03,36,425","58.09"
"RELIANCE","EQ","01-Jul-2026","1,293.90","1,298.90","1,312.20","1,296.50","1,306.50","1,308.00","1,307.11","70,01,401","9,15,15,70,032.20","1,49,608","37,73,191","53.89"
