"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INFY","EQ","30-Jun-2016","1,176.85","1,180.50","1,184.50","1,167.95","1,171.90","1,170.80","1,173.73","46,73,112","5,48,49,81,719.00","1,17,143","33,65,862","72.03"
"INFY","EQ","29-Jun-2016","1,159.15","1,169.00","1,179.90","1,160.20","1,177.00","1,176.85","1,169.63","27,29,575","3,19,25,94,353.45","91,172","18,81,552","68.93"
"INFY","EQ","28-Jun-2016","1,166.20","1,162.80","1,172.50","1,155.10","1,158.95","1,159.15","1,161.08","38,27,987","4,44,45,86,239.30","1,40,277","27,06,114","70.69"
"INFY","EQ","27-Jun-2016","1,194.55","1,172.05","1,183.20","1,160.00","1,165.05","1,166.20","1,170.54","27,91,889","3,26,80,27,324.15","95,815","19,18,370","68.71"
"INFY","EQ","24-Jun-2016","1,211.60","1,188.00","1,199.00","1,160.00","1,191.20","1,194.55","1,187.02","39,04,174","4,63,43,22,656.05","80,878","26,21,701","67.15"
"INFY","EQ","23-Jun-2016","1,199.50","1,197.30","1,214.85","1,193.35","1,210.75","1,211.60","1,203.62","19,14,313","2,30,41,05,634.50","1,02,672","13,23,086","69.12"
"INFY","EQ","22-Jun-2016","1,206.10","1,204.00","1,211.95","1,188.15","1,197.35","1,199.50","1,199.49","15,15,629","1,81,79,88,768.65","52,549","10,15,538","67.00"
"INFY","EQ","21-Jun-2016","1,208.75","1,211.20","1,214.80","1,195.65","1,206.50","1,206.10","1,204.61","23,80,862","2,86,80,13,851.20","57,770","16,16,360","67.89"
"INFY","EQ","20-Jun-2016","1,179.50","1,181.00","1,211.80","1,179.70","1,207.00","1,208.75","1,199.39","31,14,783","3,73,58,47,753.55","84,105","20,81,632","66.83"
"INFY","EQ","17-Jun-2016","1,186.00","1,189.00","1,192.75","1,175.10","1,179.45","1,179.50","1,179.51","42,57,541","5,02,18,28,421.25","84,979","32,32,375","75.92"
"INFY","EQ","16-Jun-2016","1,189.95","1,189.50","1,189.50","1,170.10","1,186.30","1,186.00","1,179.61","26,51,282","3,12,74,77,049.30","96,066","18,94,154","71.44"
