"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INFY","EQ","30-Jun-2023","1,293.35","1,308.20","1,338.90","1,304.45","1,337.85","1,335.50","1,326.14","1,28,21,692","17,00,32,96,938.75","3,45,935","83,59,716","65.20"
"INFY","EQ","28-Jun-2023","1,279.15","1,290.00","1,296.70","1,281.40","1,296.00","1,293.35","1,291.75","56,62,358","7,31,43,58,363.90","1,70,226","39,71,353","70.14"
"INFY","EQ","27-Jun-2023","1,270.35","1,280.00","1,282.00","1,274.20","1,278.95","1,279.15","1,278.39","32,40,024","4,14,20,00,392.60","1,35,123","22,50,216","69.45"
"INFY","EQ","26-Jun-2023","1,265.00","1,270.25","1,274.00","1,262.25","1,270.70","1,270.35","1,270.02","34,03,244","4,32,21,79,502.70","1,49,079","23,32,680","68.54"
"INFY","EQ","23-Jun-2023","1,281.55","1,276.45","1,279.35","1,263.35","1,265.70","1,265.00","1,270.07","72,39,467","9,19,46,54,166.50","2,52,153","53,13,677","73.40"
"INFY","EQ","22-Jun-2023","1,299.35","1,289.40","1,289.40","1,273.50","1,283.00","1,281.55","1,282.51","66,76,607","8,56,28,29,405.90","2,19,932","43,69,639","65.45"
"INFY","EQ","21-Jun-2023","1,303.40","1,299.95","1,303.80","1,295.00","1,298.50","1,299.35","1,300.26","40,41,529","5,25,50,42,672.85","1,33,363","25,44,545","62.96"
"INFY","EQ","20-Jun-2023","1,294.00","1,294.00","1,305.00","1,291.10","1,304.50","1,303.40","1,299.80","40,09,180","5,21,11,50,582.55","1,29,677","26,96,387","67.26"
"INFY","EQ","19-Jun-2023","1,291.65","1,294.00","1,299.50","1,287.05","1,292.50","1,294.00","1,292.58","44,51,787","5,75,42,81,563.90","1,23,872","29,97,527","67.33"
"INFY","EQ","16-Jun-2023","1,286.80","1,287.00","1,301.50","1,281.05","1,290.00","1,291.65","1,290.23","85,36,287","11,01,37,81,162.55","1,85,318","57,91,502","67.85"
"INFY","EQ","15-Jun-2023","1,300.40","1,293.95","1,293.95","1,282.65","1,287.00","1,286.80","1,287.49","61,61,155","7,93,24,47,626.70","1,90,175","36,45,764","59.17"
