"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INFY","EQ","31-Dec-2018","656.95","660.00","662.00","655.80","659.60","658.95","659.27","33,73,319","2,22,39,19,550.25","65,442","15,17,551","44.99"
"INFY","EQ","28-Dec-2018","656.80","663.35","663.50","653.30","656.10","656.95","658.29","47,36,598","3,11,80,76,701.95","1,05,527","22,25,579","46.99"
"INFY","EQ","27-Dec-2018","644.05","652.75","663.25","649.00","656.35","656.80","658.16","1,53,33,902","10,09,21,26,950.95","1,82,988","70,84,546","46.20"
"INFY","EQ","26-Dec-2018","649.00","647.00","647.00","637.35","643.90","644.05","641.76","61,78,552","3,96,51,60,751.65","1,29,003","31,92,480","51.67"
"INFY","EQ","24-Dec-2018","646.20","657.00","658.80","647.60","648.50","649.00","652.59","83,79,825","5,46,85,62,526.00","1,40,084","32,30,709","38.55"
"INFY","EQ","21-Dec-2018","667.05","659.50","659.50","643.45","646.55","646.20","651.10","1,28,02,132","8,33,54,93,758.10","2,28,130","65,37,301","51.06"
"INFY","EQ","20-Dec-2018","664.85","660.00","671.55","656.40","666.90","667.05","664.34","1,17,05,260","7,77,62,39,037.15","2,37,519","63,51,199","54.26"
"INFY","EQ","19-Dec-2018","676.60","671.55","671.55","661.10","664.60","664.85","665.07","82,95,459","5,51,70,46,524.60","2,63,253","47,81,304","57.64"
"INFY","EQ","18-Dec-2018","694.40","686.50","686.50","674.55","677.00","676.60","679.65","80,21,298","5,45,16,86,819.05","1,91,277","42,77,069","53.32"
"INFY","EQ","17-Dec-2018","706.05","711.85","711.85","692.75","692.75","694.40","697.79","47,78,465","3,33,43,76,899.10","95,026","23,19,758","48.55"
"INFY","EQ","14-Dec-2018","697.75","697.45","713.70","694.40","706.15","706.05","705.93","95,60,576","6,74,91,01,214.85","1,58,039","47,77,005","49.97"
"INFY","EQ","13-Dec-2018","678.50","682.00","700.00","680.00","695.35","697.75","690.27","75,21,474","5,19,18,53,566.00","1,87,302","46,79,887","62.22"
"INFY","EQ","12-Dec-2018","674.50","677.10","680.65","670.60","678.10","678.50","675.12","69,26,183","4,67,59,85,775.85","92,411","37,25,735","53.79"
"INFY","EQ","11-Dec-2018","669.20","669.20","681.90","660.60","673.25","674.50","672.27","71,20,933","4,78,71,61,579.10","2,04,697","37,67,399","52.91"
"INFY","EQ","10-Dec-2018","682.80","669.90","683.80","665.20","670.30","669.20","671.47","51,21,196","3,43,87,17,512.95","1,19,910","31,14,377","60.81"
"INFY","EQ","07-Dec-2018","668.50","672.00","685.75","665.60","681.00","682.80","679.07","55,53,948","3,77,15,08,978.70","1,25,999","30,24,829","54.46"
"INFY","EQ","06-Dec-2018","681.40","676.10","685.45","664.55","669.70","668.50","672.12","80,39,771","5,40,36,59,737.50","2,29,269","39,22,722","48.79"
